Host,Parasite,paraType
Alces alces,Trichuris discolor,helminth
Alces alces,Trichuris ovis,helminth
Alces alces,Varestrongylus alces,helminth
Alces alces,Varestrongylus capreoli,helminth
Alces alces,Zygocotyle lunata,helminth
Alces alces,Trichostrongylid ova,helminth
Alces alces,Aonchotheca bovis,helminth
Alces alces,Ashworthius sidemi,helminth
Alces alces,Bunostomum phlebotomum,helminth
Alces alces,Bunostomum trigonocephalum,helminth
Alces alces,Calicophoron calicophorum,helminth
Alces alces,Capillaria bovis,helminth
Alces alces,Cysticercus tarandi,helminth
Alces alces,Cysticercus tenuicollis,helminth
Alces alces,Dicrocoelium dendriticum,helminth
Alces alces,Dictyocaulus capreolus,helminth
Alces alces,Dictyocaulus eckerti,helminth
Alces alces,Dictyocaulus filaria,helminth
Alces alces,Dictyocaulus hadweni,helminth
Alces alces,Dictyocaulus viviparus,helminth
Alces alces andersoni,Dictyocaulus viviparus,helminth
Alces alces,Echinococcus granulosus,helminth
Alces alces andersoni,Echinococcus granulosus,helminth
Alces alces,Elaeophora abramovi,helminth
Alces alces,Elaeophora schneideri,helminth
Alces alces,Elaphostrongylus alces,helminth
Alces alces,Elaphostrongylus alcis,helminth
Alces alces,Elaphostrongylus cervi,helminth
Alces alces,Elaphostrongylus rangiferi,helminth
Alces alces,Fasciola hepatica,helminth
Alces alces,Fascioloides magna,helminth
Alces alces americana,Fascioloides magna,helminth
Alces alces,Fischoederius elongatus,helminth
Alces alces,Fischoederius skrjabini,helminth
Alces alces,Haemonchus contortus,helminth
Alces alces,Haemonchus similis,helminth
Alces alces,Liorchis scotiae,helminth
Alces alces,Mazamastrongylus dagestanica,helminth
Alces alces,Moniezia autumnalis,helminth
Alces alces,Moniezia benedeni,helminth
Alces alces,Moniezia expansa,helminth
Alces alces,Muellerius capillaris,helminth
Alces alces,Nematodirella alcidis,helminth
Alces alces,Nematodirella gazelli,helminth
Alces alces,Nematodirella longispiculata,helminth
Alces alces,Nematodirella longispiculata,helminth
Alces alces andersoni,Nematodirella longispiculata,helminth
Alces alces,Nematodirella longissimespiculata,helminth
Alces alces,Nematodirus helvetianus,helminth
Alces alces,Nematodirus mauritanicus,helminth
Alces alces,Nematodirus odocoilei,helminth
Alces alces,Nematodirus spathiger,helminth
Alces alces,Nematodirus tarandi,helminth
Alces alces,Oesophagostomum asperum,helminth
Alces alces,Oesophagostomum venulosum,helminth
Alces alces,Onchocerca cervipedis,helminth
Alces alces andersoni,Onchocerca cervipedis,helminth
Alces alces,Orloffia orloffi,helminth
Alces alces,Orthostrongylus macrotis,helminth
Alces alces,Ostertagia antipini,helminth
Alces alces,Ostertagia kolchida,helminth
Alces alces,Ostertagia leptospicularis,helminth
Alces alces,Ostertagia lyrataeformis,helminth
Alces alces,Ostertagia ostertagi,helminth
Alces alces,Parafasciolopsis fasciolaemorpha,helminth
Alces alces,Paramphistomum cervi,helminth
Alces alces americana,Paramphistomum cervi,helminth
Alces alces,Paramphistomum ichikawai,helminth
Alces alces,Paramphistomum leydeni,helminth
Alces alces,Paramphistomum liorchis,helminth
Alces alces andersoni,Parelaphostrongylus odocoilei,helminth
Alces alces,Parelaphostrongylus tenuis,helminth
Alces alces,Physocephalus sexalatus,helminth
Alces alces,Protostrongylus macrotis,helminth
Alces alces,Rumenfilaria andersoni,helminth
Alces alces,Setaria capreoli,helminth
Alces alces,Setaria cervi,helminth
Alces alces,Setaria labiatopapillosa,helminth
Alces alces,Setaria transcaucasica,helminth
Alces alces,Setaria yehi,helminth
Alces alces,Skrjabinagia lyrataeformis,helminth
Alces alces,Spiculopteragia alcis,helminth
Alces alces,Spiculopteragia asymmetrica,helminth
Alces alces,Spiculopteragia boehmi,helminth
Alces alces,Spiculopteragia dagestanica,helminth
Alces alces,Spiculopteragia mathevossiani,helminth
Alces alces,Spiculopteragia spiculoptera,helminth
Alces alces,Taenia cervi,helminth
Alces alces,Taenia hydatigena,helminth
Alces alces andersoni,Taenia hydatigena,helminth
Alces alces,Taenia krabbei,helminth
Alces alces andersoni,Taenia krabbei,helminth
Alces alces,Taenia ovis,helminth
Alces alces,Taenia ovis,helminth
Alces alces,Teladorsagia circumcincta,helminth
Alces alces,Thelazia rhodesi,helminth
Alces alces,Thysanosoma actinioides,helminth
Alces alces andersoni,Thysanosoma actinioides,helminth
Alces alces,Trichocephalus capreoli,helminth
Alces alces,Trichocephalus gazellae,helminth
Alces alces,Trichocephalus ovis,helminth
Alces alces,Trichocephalus skrjabini,helminth
Alces alces,Trichostrongylus axei,helminth
Alces alces,Trichostrongylus capricola,helminth
Alces alces,Trichostrongylus colubriformis,helminth
Alces alces,Trichostrongylus longispicularis,helminth
Alces alces,Trichostrongylus vitrinus,helminth
Alces alces,Trichuris discolor,helminth
Alces alces,Trichuris ovis,helminth
Alces alces,Varestrongylus alces,helminth
Alces alces,Varestrongylus capreoli,helminth
Alces alces,Zygocotyle lunata,helminth
Canis lupus,Alaria alata,helminth
Canis lupus,Alaria americana,helminth
Canis lupus,Alaria arisaemoides,helminth
Canis lupus,Alaria marcianae,helminth
Canis lupus,Alveococcus multilocularis,helminth
Canis lupus,Ancylostoma brasiliense,helminth
Canis lupus,Ancylostoma caninum,helminth
Canis lupus,Capillaria aerophila,helminth
Canis lupus,Capillaria hepatica,helminth
Canis lupus,Capillaria plica,helminth
Canis lupus,Clonorchis sinensis,helminth
Canis lupus,Crenosoma vulpis,helminth
Canis lupus,Dioctophyme renale,helminth
Canis lupus,Dipylidium caninum,helminth
Canis lupus,Dirofilaria immitis,helminth
Canis lupus,Dirofilaria repens,helminth
Canis lupus,Echinococcus granulosus,helminth
Canis lupus,Echinococcus multilocularis,helminth
Canis lupus f. familiaris,Echinococcus multilocularis,helminth
Canis lupus,Eucoleus aerophilus,helminth
Canis lupus,Eucoleus boehemi,helminth
Canis lupus,Isthmiophora melis,helminth
Canis lupus,Joyeuxiella echinorhynchoides,helminth
Canis lupus,Macracanthorhynchus catulinus,helminth
Canis lupus,Mesocestoides kirbyi,helminth
Canis lupus,Mesocestoides lineatus,helminth
Canis lupus,Mesocestoides litteratus,helminth
Canis lupus,Metorchis conjunctus,helminth
Canis lupus,Multiceps multiceps,helminth
Canis lupus,Multiceps packi,helminth
Canis lupus,Multiceps serialis,helminth
Canis lupus,Nanophyetus salmincola,helminth
Canis lupus,Numidica numidica,helminth
Canis lupus,Onchocerca lupi,helminth
Canis lupus cubanensis,Onchocerca lupi,helminth
Canis lupus,Opisthorchis felineus,helminth
Canis lupus,Oslerus osleri,helminth
Canis lupus,Paragonimus westermani,helminth
Canis lupus,Pearsonema plica,helminth
Canis lupus,Physaloptera praeputialis,helminth
Canis lupus,Physaloptera sibirica,helminth
Canis lupus,Plagiorchis elegans,helminth
Canis lupus,Pseudamphistomum truncatum,helminth
Canis lupus,Rictularia affinis,helminth
Canis lupus,Spirocerca arctica,helminth
Canis lupus,Spirocerca lupi,helminth
Canis lupus,Spirocerca vigisiana,helminth
Canis lupus,Spirometra erinacei,helminth
Canis lupus,Taenia crassiceps,helminth
Canis lupus,Taenia djeirani,helminth
Canis lupus,Taenia hydatigena,helminth
Canis lupus,Taenia krabbei,helminth
Canis lupus,Taenia laticollis,helminth
Canis lupus,Taenia macrocystis,helminth
Canis lupus,Taenia multiceps,helminth
Canis lupus,Taenia mustelae,helminth
Canis lupus,Taenia omissa,helminth
Canis lupus,Taenia opuntioides,helminth
Canis lupus,Taenia ovis,helminth
Canis lupus,Taenia ovis,helminth
Canis lupus,Taenia parenchymatosa,helminth
Canis lupus,Taenia pisiformis,helminth
Canis lupus,Taenia polyacantha,helminth
Canis lupus,Taenia serialis,helminth
Canis lupus,Taenia taeniaeformis,helminth
Canis lupus,Thominx aerophilus,helminth
Canis lupus,Thominx bohmi,helminth
Canis lupus,Toxascaris leonina,helminth
Canis lupus,Toxocara canis,helminth
Canis lupus,Trichinella britovi,helminth
Canis lupus,Trichinella nativa,helminth
Canis lupus,Trichinella nelsoni,helminth
Canis lupus,Trichinella spiralis,helminth
Canis lupus,Trichuris vulpis,helminth
Canis lupus,Uncinaria stenocephala,helminth
Cebus capucinus,Ascaris cebi,helminth
Cebus capucinus,Athesmia foxi,helminth
Cebus capucinus,Dipetalonema gracile,helminth
Cebus capucinus,Filariopsis barretoi,helminth
Cebus capucinus,Molineus torulosus,helminth
Cebus capucinus,Paragonimus mexicanus,helminth
Cebus capucinus,Strongyloides cebus,helminth
Cercopithecus mitis,Strongyloides fuelleborni,helminth
Cercopithecus mitis doggetti,Taenia serialis,helminth
Cercopithecus mitis,Trichuris trichiura,helminth
Cervus elaphus,Trichostrongylid ova,helminth
Cervus elaphus,Aonchotheca bovis,helminth
Cervus elaphus,Apteragia quadrispiculata,helminth
Cervus elaphus,Ashworthius gagarini,helminth
Cervus elaphus sibiricus,Ashworthius gagarini,helminth
Cervus elaphus,Ashworthius sidemi,helminth
Cervus elaphus sibiricus,Ashworthius sidemi,helminth
Cervus elaphus canadensis,Bicaulus marali,helminth
Cervus elaphus,Bunostomum trigonocephalum,helminth
Cervus elaphus,Calicophoron calicophorum,helminth
Cervus elaphus,Calicophoron daubneyi,helminth
Cervus elaphus,Camelostrongylus mentulatus,helminth
Cervus elaphus,Capillaria bovis,helminth
Cervus elaphus,Chabertia ovina,helminth
Cervus elaphus,Cooperia curticei,helminth
Cervus elaphus,Cooperia mcmasteri,helminth
Cervus elaphus,Cooperia oncophora,helminth
Cervus elaphus,Cooperia pectinata,helminth
Cervus elaphus,Cooperia punctata,helminth
Cervus elaphus,Cooperia zurnabada,helminth
Cervus elaphus,Cutifilaria wenki,helminth
Cervus elaphus,Cysticercus tenuicollis,helminth
Cervus elaphus,Cystocaulus nigrescens,helminth
Cervus elaphus,Dicrocoelium dendriticum,helminth
Cervus elaphus hispanicus,Dicrocoelium dendriticum,helminth
Cervus elaphus nelsoni,Dicrocoelium dendriticum,helminth
Cervus elaphus,Dicrocoelium lanceatum,helminth
Cervus elaphus,Dictyocaulus eckerti,helminth
Cervus elaphus,Dictyocaulus filaria,helminth
Cervus elaphus,Dictyocaulus nerneri,helminth
Cervus elaphus,Dictyocaulus noerneri,helminth
Cervus elaphus,Dictyocaulus viviparus,helminth
Cervus elaphus nelsoni,Dictyocaulus viviparus,helminth
Cervus elaphus,Distomum lanceolatum,helminth
Cervus elaphus,Echinococcus granulosus,helminth
Cervus elaphus nelsoni,Echinococcus granulosus,helminth
Cervus elaphus sibiricus,Echinococcus granulosus,helminth
Cervus elaphus,Elaeophora elaphi,helminth
Cervus elaphus,Elaphostrongylus cervi,helminth
Cervus elaphus atlanticus,Elaphostrongylus cervi,helminth
Cervus elaphus hispanicus,Elaphostrongylus cervi,helminth
Cervus elaphus canadensis,Elaphostrongylus panticola,helminth
Cervus elaphus,Fasciola gigantica,helminth
Cervus elaphus,Fasciola hepatica,helminth
Cervus elaphus,Fascioloides magna,helminth
Cervus elaphus nelsoni,Fascioloides magna,helminth
Cervus elaphus roosvelti,Fascioloides magna,helminth
Cervus elaphus,Filaria terebra,helminth
Cervus elaphus,Fischoederius skrjabini,helminth
Cervus elaphus,Gongylonema pulchrum,helminth
Cervus elaphus,Haemonchus contortus,helminth
Cervus elaphus,Marshallagia marshalli,helminth
Cervus elaphus,Mazamastrongylus odocoilei,helminth
Cervus elaphus,Mazamastrongylus pursglovei,helminth
Cervus elaphus nannodes,Mazamastrongylus pursglovei,helminth
Cervus elaphus,Moniezia benedeni,helminth
Cervus elaphus hispanicus,Moniezia benedeni,helminth
Cervus elaphus,Moniezia expansa,helminth
Cervus elaphus,Muellerius capillaris,helminth
Cervus elaphus,Nematodirella alcidis,helminth
Cervus elaphus,Nematodirella longispiculata,helminth
Cervus elaphus,Nematodirella longissimespiculata,helminth
Cervus elaphus,Nematodirus antilocaprae,helminth
Cervus elaphus,Nematodirus filicollis,helminth
Cervus elaphus,Nematodirus helvetianus,helminth
Cervus elaphus,Nematodirus odocoilei,helminth
Cervus elaphus,Nematodirus oiratianus,helminth
Cervus elaphus,Nematodirus roscidus,helminth
Cervus elaphus,Nematodirus spathiger,helminth
Cervus elaphus,Oesophagostomum cervi,helminth
Cervus elaphus,Oesophagostomum radiatum,helminth
Cervus elaphus,Oesophagostomum sikae,helminth
Cervus elaphus,Oesophagostomum venulosum,helminth
Cervus elaphus hispanicus,Oesophagostomum venulosum,helminth
Cervus elaphus,Onchocerca flexuosa,helminth
Cervus elaphus,Onchocerca garmsi,helminth
Cervus elaphus,Onchocerca jakutensis,helminth
Cervus elaphus,Onchocerca skrjabini,helminth
Cervus elaphus,Onchocerca tarsicola,helminth
Cervus elaphus,Onchocerca tubingensis,helminth
Cervus elaphus,Orthostrongylus macrotis,helminth
Cervus elaphus,Ostertagia arctica,helminth
Cervus elaphus,Ostertagia circumcincta,helminth
Cervus elaphus,Ostertagia drozdzi,helminth
Cervus elaphus sibiricus,Ostertagia drozdzi,helminth
Cervus elaphus,Ostertagia gruehneri,helminth
Cervus elaphus,Ostertagia kolchida,helminth
Cervus elaphus hispanicus,Ostertagia kolchida,helminth
Cervus elaphus nannodes,Ostertagia kolchida,helminth
Cervus elaphus sibiricus,Ostertagia kolchida,helminth
Cervus elaphus,Ostertagia leptospicularis,helminth
Cervus elaphus hispanicus,Ostertagia leptospicularis,helminth
Cervus elaphus nannodes,Ostertagia leptospicularis,helminth
Cervus elaphus sibiricus,Ostertagia leptospicularis,helminth
Cervus elaphus,Ostertagia lyrata,helminth
Cervus elaphus,Ostertagia mossi,helminth
Cervus elaphus,Ostertagia ostertagi,helminth
Cervus elaphus hispanicus,Ostertagia ostertagi,helminth
Cervus elaphus,Ostertagia spiculoptera,helminth
Cervus elaphus,Ostertagia trifurcata,helminth
Cervus elaphus,Parafasciolopsis fasciolaemorpha,helminth
Cervus elaphus,Parafilaria antipini,helminth
Cervus elaphus,Paramphistomum cervi,helminth
Cervus elaphus,Paramphistomum hiberniae,helminth
Cervus elaphus,Paramphistomum ichikawai,helminth
Cervus elaphus,Paramphistomum leydeni,helminth
Cervus elaphus,Parelaphostrongylus tenuis,helminth
Cervus elaphus canadensis,Parelaphostrongylus tenuis,helminth
Cervus elaphus,Protostrongylus kochi,helminth
Cervus elaphus,Rinadia mathevossiani,helminth
Cervus elaphus,Sclerostoma hypostomum,helminth
Cervus elaphus,Setaria cervi,helminth
Cervus elaphus,Setaria labiatopapillosa,helminth
Cervus elaphus,Skrjabinagia arctica,helminth
Cervus elaphus,Skrjabinagia kolchida,helminth
Cervus elaphus,Skrjabinagia lasensis,helminth
Cervus elaphus,Skrjabinagia lyrata,helminth
Cervus elaphus,Spiculopteragia asymmetrica,helminth
Cervus elaphus hispanicus,Spiculopteragia asymmetrica,helminth
Cervus elaphus sibiricus,Spiculopteragia asymmetrica,helminth
Cervus elaphus,Spiculopteragia boehmi,helminth
Cervus elaphus sibiricus,Spiculopteragia boehmi,helminth
Cervus elaphus,Spiculopteragia bohmi,helminth
Cervus elaphus,Spiculopteragia dagestanica,helminth
Cervus elaphus,Spiculopteragia mathevossiani,helminth
Cervus elaphus sibiricus,Spiculopteragia mathevossiani,helminth
Cervus elaphus,Spiculopteragia quadrispiculata,helminth
Cervus elaphus,Spiculopteragia spiculoptera,helminth
Cervus elaphus,Strongyloides papillosus,helminth
Cervus elaphus,Strongyloides ransomi,helminth
Cervus elaphus,Strongylus sagittatus,helminth
Cervus elaphus,Strongylus ventricosus,helminth
Cervus elaphus,Taenia cervi,helminth
Cervus elaphus,Taenia hydatigena,helminth
Cervus elaphus hippelaphus,Taenia hydatigena,helminth
Cervus elaphus nelsoni,Taenia hydatigena,helminth
Cervus elaphus,Taenia krabbei,helminth
Cervus elaphus,Taenia ovis,helminth
Cervus elaphus hippelaphus,Taenia ovis,helminth
Cervus elaphus,Taenia parenchymatosa,helminth
Cervus elaphus,Teladorsagia circumcincta,helminth
Cervus elaphus,Teladorsagia trifurcata,helminth
Cervus elaphus,Thelazia rhodesi,helminth
Cervus elaphus,Thysaniezia giardi,helminth
Cervus elaphus,Thysanosoma actinioides,helminth
Cervus elaphus nelsoni,Thysanosoma actinioides,helminth
Cervus elaphus,Trichocephalus affinis,helminth
Cervus elaphus,Trichocephalus capreoli,helminth
Cervus elaphus,Trichocephalus globulosa,helminth
Cervus elaphus,Trichocephalus ovis,helminth
Cervus elaphus,Trichocephalus skrjabini,helminth
Cervus elaphus,Trichostrongylus askivali,helminth
Cervus elaphus,Trichostrongylus axei,helminth
Cervus elaphus nannodes,Trichostrongylus axei,helminth
Cervus elaphus,Trichostrongylus capricola,helminth
Cervus elaphus,Trichostrongylus colubriformis,helminth
Cervus elaphus,Trichostrongylus extenuatus,helminth
Cervus elaphus,Trichostrongylus ostertagiaformis,helminth
Cervus elaphus,Trichostrongylus vitrinus,helminth
Cervus elaphus,Trichuris capreoli,helminth
Cervus elaphus,Trichuris globulosa,helminth
Cervus elaphus,Trichuris guevarai,helminth
Cervus elaphus,Trichuris ovis,helminth
Cervus elaphus hispanicus,Trichuris ovis,helminth
Cervus elaphus,Trichuris skrjabini,helminth
Cervus elaphus,Varestrongylus capreoli,helminth
Cervus elaphus,Varestrongylus sagittatus,helminth
Cervus elaphus hippelaphus,Varestrongylus sagittatus,helminth
Cervus elaphus barbarus,Wehrdikmansia flexuosa,helminth
Cervus elaphus,Trichostrongylid ova,helminth
Cervus elaphus,Aonchotheca bovis,helminth
Cervus elaphus,Apteragia quadrispiculata,helminth
Cervus elaphus,Ashworthius gagarini,helminth
Cervus elaphus sibiricus,Ashworthius gagarini,helminth
Cervus elaphus,Ashworthius sidemi,helminth
Cervus elaphus sibiricus,Ashworthius sidemi,helminth
Cervus elaphus canadensis,Bicaulus marali,helminth
Cervus elaphus,Bunostomum trigonocephalum,helminth
Cervus elaphus,Calicophoron calicophorum,helminth
Cervus elaphus,Calicophoron daubneyi,helminth
Cervus elaphus,Camelostrongylus mentulatus,helminth
Cervus elaphus,Capillaria bovis,helminth
Cervus elaphus,Chabertia ovina,helminth
Cervus elaphus,Cooperia curticei,helminth
Cervus elaphus,Cooperia mcmasteri,helminth
Cervus elaphus,Cooperia oncophora,helminth
Cervus elaphus,Cooperia pectinata,helminth
Cervus elaphus,Cooperia punctata,helminth
Cervus elaphus,Cooperia zurnabada,helminth
Cervus elaphus,Cutifilaria wenki,helminth
Cervus elaphus,Cysticercus tenuicollis,helminth
Cervus elaphus,Cystocaulus nigrescens,helminth
Cervus elaphus,Dicrocoelium dendriticum,helminth
Cervus elaphus hispanicus,Dicrocoelium dendriticum,helminth
Cervus elaphus nelsoni,Dicrocoelium dendriticum,helminth
Cervus elaphus,Dicrocoelium lanceatum,helminth
Cervus elaphus,Dictyocaulus eckerti,helminth
Cervus elaphus,Dictyocaulus filaria,helminth
Cervus elaphus,Dictyocaulus nerneri,helminth
Cervus elaphus,Dictyocaulus noerneri,helminth
Cervus elaphus,Dictyocaulus viviparus,helminth
Cervus elaphus nelsoni,Dictyocaulus viviparus,helminth
Cervus elaphus,Distomum lanceolatum,helminth
Cervus elaphus,Echinococcus granulosus,helminth
Cervus elaphus nelsoni,Echinococcus granulosus,helminth
Cervus elaphus sibiricus,Echinococcus granulosus,helminth
Cervus elaphus,Elaeophora elaphi,helminth
Cervus elaphus,Elaphostrongylus cervi,helminth
Cervus elaphus atlanticus,Elaphostrongylus cervi,helminth
Cervus elaphus hispanicus,Elaphostrongylus cervi,helminth
Cervus elaphus canadensis,Elaphostrongylus panticola,helminth
Cervus elaphus,Fasciola gigantica,helminth
Cervus elaphus,Fasciola hepatica,helminth
Cervus elaphus,Fascioloides magna,helminth
Cervus elaphus nelsoni,Fascioloides magna,helminth
Cervus elaphus roosvelti,Fascioloides magna,helminth
Cervus elaphus,Filaria terebra,helminth
Cervus elaphus,Fischoederius skrjabini,helminth
Cervus elaphus,Gongylonema pulchrum,helminth
Cervus elaphus,Haemonchus contortus,helminth
Cervus elaphus,Marshallagia marshalli,helminth
Cervus elaphus,Mazamastrongylus odocoilei,helminth
Cervus elaphus,Mazamastrongylus pursglovei,helminth
Cervus elaphus nannodes,Mazamastrongylus pursglovei,helminth
Cervus elaphus,Moniezia benedeni,helminth
Cervus elaphus hispanicus,Moniezia benedeni,helminth
Cervus elaphus,Moniezia expansa,helminth
Cervus elaphus,Muellerius capillaris,helminth
Cervus elaphus,Nematodirella alcidis,helminth
Cervus elaphus,Nematodirella longispiculata,helminth
Cervus elaphus,Nematodirella longissimespiculata,helminth
Cervus elaphus,Nematodirus antilocaprae,helminth
Cervus elaphus,Nematodirus filicollis,helminth
Cervus elaphus,Nematodirus helvetianus,helminth
Cervus elaphus,Nematodirus odocoilei,helminth
Cervus elaphus,Nematodirus oiratianus,helminth
Cervus elaphus,Nematodirus roscidus,helminth
Cervus elaphus,Nematodirus spathiger,helminth
Cervus elaphus,Oesophagostomum cervi,helminth
Cervus elaphus,Oesophagostomum radiatum,helminth
Cervus elaphus,Oesophagostomum sikae,helminth
Cervus elaphus,Oesophagostomum venulosum,helminth
Cervus elaphus hispanicus,Oesophagostomum venulosum,helminth
Cervus elaphus,Onchocerca flexuosa,helminth
Cervus elaphus,Onchocerca garmsi,helminth
Cervus elaphus,Onchocerca jakutensis,helminth
Cervus elaphus,Onchocerca skrjabini,helminth
Cervus elaphus,Onchocerca tarsicola,helminth
Cervus elaphus,Onchocerca tubingensis,helminth
Cervus elaphus,Orthostrongylus macrotis,helminth
Cervus elaphus,Ostertagia arctica,helminth
Cervus elaphus,Ostertagia circumcincta,helminth
Cervus elaphus,Ostertagia drozdzi,helminth
Cervus elaphus sibiricus,Ostertagia drozdzi,helminth
Cervus elaphus,Ostertagia gruehneri,helminth
Cervus elaphus,Ostertagia kolchida,helminth
Cervus elaphus hispanicus,Ostertagia kolchida,helminth
Cervus elaphus nannodes,Ostertagia kolchida,helminth
Cervus elaphus sibiricus,Ostertagia kolchida,helminth
Cervus elaphus,Ostertagia leptospicularis,helminth
Cervus elaphus hispanicus,Ostertagia leptospicularis,helminth
Cervus elaphus nannodes,Ostertagia leptospicularis,helminth
Cervus elaphus sibiricus,Ostertagia leptospicularis,helminth
Cervus elaphus,Ostertagia lyrata,helminth
Cervus elaphus,Ostertagia mossi,helminth
Cervus elaphus,Ostertagia ostertagi,helminth
Cervus elaphus hispanicus,Ostertagia ostertagi,helminth
Cervus elaphus,Ostertagia spiculoptera,helminth
Cervus elaphus,Ostertagia trifurcata,helminth
Cervus elaphus,Parafasciolopsis fasciolaemorpha,helminth
Cervus elaphus,Parafilaria antipini,helminth
Cervus elaphus,Paramphistomum cervi,helminth
Cervus elaphus,Paramphistomum hiberniae,helminth
Cervus elaphus,Paramphistomum ichikawai,helminth
Cervus elaphus,Paramphistomum leydeni,helminth
Cervus elaphus,Parelaphostrongylus tenuis,helminth
Cervus elaphus canadensis,Parelaphostrongylus tenuis,helminth
Cervus elaphus,Protostrongylus kochi,helminth
Cervus elaphus,Rinadia mathevossiani,helminth
Cervus elaphus,Sclerostoma hypostomum,helminth
Cervus elaphus,Setaria cervi,helminth
Cervus elaphus,Setaria labiatopapillosa,helminth
Cervus elaphus,Skrjabinagia arctica,helminth
Cervus elaphus,Skrjabinagia kolchida,helminth
Cervus elaphus,Skrjabinagia lasensis,helminth
Cervus elaphus,Skrjabinagia lyrata,helminth
Cervus elaphus,Spiculopteragia asymmetrica,helminth
Cervus elaphus hispanicus,Spiculopteragia asymmetrica,helminth
Cervus elaphus sibiricus,Spiculopteragia asymmetrica,helminth
Cervus elaphus,Spiculopteragia boehmi,helminth
Cervus elaphus sibiricus,Spiculopteragia boehmi,helminth
Cervus elaphus,Spiculopteragia bohmi,helminth
Cervus elaphus,Spiculopteragia dagestanica,helminth
Cervus elaphus,Spiculopteragia mathevossiani,helminth
Cervus elaphus sibiricus,Spiculopteragia mathevossiani,helminth
Cervus elaphus,Spiculopteragia quadrispiculata,helminth
Cervus elaphus,Spiculopteragia spiculoptera,helminth
Cervus elaphus,Strongyloides papillosus,helminth
Cervus elaphus,Strongyloides ransomi,helminth
Cervus elaphus,Strongylus sagittatus,helminth
Cervus elaphus,Strongylus ventricosus,helminth
Cervus elaphus,Taenia cervi,helminth
Cervus elaphus,Taenia hydatigena,helminth
Cervus elaphus hippelaphus,Taenia hydatigena,helminth
Cervus elaphus nelsoni,Taenia hydatigena,helminth
Cervus elaphus,Taenia krabbei,helminth
Cervus elaphus,Taenia ovis,helminth
Cervus elaphus hippelaphus,Taenia ovis,helminth
Cervus elaphus,Taenia parenchymatosa,helminth
Cervus elaphus,Teladorsagia circumcincta,helminth
Cervus elaphus,Teladorsagia trifurcata,helminth
Cervus elaphus,Thelazia rhodesi,helminth
Cervus elaphus,Thysaniezia giardi,helminth
Cervus elaphus,Thysanosoma actinioides,helminth
Cervus elaphus nelsoni,Thysanosoma actinioides,helminth
Cervus elaphus,Trichocephalus affinis,helminth
Cervus elaphus,Trichocephalus capreoli,helminth
Cervus elaphus,Trichocephalus globulosa,helminth
Cervus elaphus,Trichocephalus ovis,helminth
Cervus elaphus,Trichocephalus skrjabini,helminth
Cervus elaphus,Trichostrongylus askivali,helminth
Cervus elaphus,Trichostrongylus axei,helminth
Cervus elaphus nannodes,Trichostrongylus axei,helminth
Cervus elaphus,Trichostrongylus capricola,helminth
Cervus elaphus,Trichostrongylus colubriformis,helminth
Cervus elaphus,Trichostrongylus extenuatus,helminth
Cervus elaphus,Trichostrongylus ostertagiaformis,helminth
Cervus elaphus,Trichostrongylus vitrinus,helminth
Cervus elaphus,Trichuris capreoli,helminth
Cervus elaphus,Trichuris globulosa,helminth
Cervus elaphus,Trichuris guevarai,helminth
Cervus elaphus,Trichuris ovis,helminth
Cervus elaphus hispanicus,Trichuris ovis,helminth
Cervus elaphus,Trichuris skrjabini,helminth
Cervus elaphus,Varestrongylus capreoli,helminth
Cervus elaphus,Varestrongylus sagittatus,helminth
Cervus elaphus hippelaphus,Varestrongylus sagittatus,helminth
Cervus elaphus barbarus,Wehrdikmansia flexuosa,helminth
Cervus elaphus,Trichostrongylid ova,helminth
Cervus elaphus,Aonchotheca bovis,helminth
Cervus elaphus,Apteragia quadrispiculata,helminth
Cervus elaphus,Ashworthius gagarini,helminth
Cervus elaphus sibiricus,Ashworthius gagarini,helminth
Cervus elaphus,Ashworthius sidemi,helminth
Cervus elaphus sibiricus,Ashworthius sidemi,helminth
Cervus elaphus canadensis,Bicaulus marali,helminth
Cervus elaphus,Bunostomum trigonocephalum,helminth
Cervus elaphus,Calicophoron calicophorum,helminth
Cervus elaphus,Calicophoron daubneyi,helminth
Cervus elaphus,Camelostrongylus mentulatus,helminth
Cervus elaphus,Capillaria bovis,helminth
Cervus elaphus,Chabertia ovina,helminth
Cervus elaphus,Cooperia curticei,helminth
Cervus elaphus,Cooperia mcmasteri,helminth
Cervus elaphus,Cooperia oncophora,helminth
Cervus elaphus,Cooperia pectinata,helminth
Cervus elaphus,Cooperia punctata,helminth
Cervus elaphus,Cooperia zurnabada,helminth
Cervus elaphus,Cutifilaria wenki,helminth
Cervus elaphus,Cysticercus tenuicollis,helminth
Cervus elaphus,Cystocaulus nigrescens,helminth
Cervus elaphus,Dicrocoelium dendriticum,helminth
Cervus elaphus hispanicus,Dicrocoelium dendriticum,helminth
Cervus elaphus nelsoni,Dicrocoelium dendriticum,helminth
Cervus elaphus,Dicrocoelium lanceatum,helminth
Cervus elaphus,Dictyocaulus eckerti,helminth
Cervus elaphus,Dictyocaulus filaria,helminth
Cervus elaphus,Dictyocaulus nerneri,helminth
Cervus elaphus,Dictyocaulus noerneri,helminth
Cervus elaphus,Dictyocaulus viviparus,helminth
Cervus elaphus nelsoni,Dictyocaulus viviparus,helminth
Cervus elaphus,Distomum lanceolatum,helminth
